Month,price
May-17,5761.3
Apr-17,5947.6
Mar-17,5903.8
Feb-17,5761
Jan-17,5675
Dec-16,5719.1
Nov-16,5502.4
Oct-16,5402.4
Sep-16,5525.2
Aug-16,5529.4
Jul-16,5644
Jun-16,5310.4
May-16,5447.8
Apr-16,5316
Mar-16,5151.8
Feb-16,4947.9
Jan-16,5056.6
Dec-15,5344.6
Nov-15,5218.2
Oct-15,5288.6
Sep-15,5058.6
Aug-15,5222.1
Jul-15,5681.7
Jun-15,5451.2
May-15,5774.9
Apr-15,5773.67
Mar-15,5861.9
Feb-15,5898.5
Jan-15,5551.6
Dec-14,5388.6
Nov-14,5298.1
Oct-14,5505.02
Sep-14,5296.8
Aug-14,5624.6
Jul-14,5623.1
Jun-14,5382
May-14,5473.8
Apr-14,5470.8
Mar-14,5403
Feb-14,5415.4
Jan-14,5205.1
Dec-13,5353.1
Nov-13,5314.3
Oct-13,5420.3
1/9/13,5217.7
Aug-13,5125.3
Jul-13,5035.7
1/6/13,4775.4
May-13,4914
Apr-13,5168.6
Mar-13,4979.9
Feb-13,5120.4
Jan-13,4901
1/12/12,4664.6
Nov-12,4518
Oct-12,4535.4
Sep-12,4406.3
Aug-12,4339
Jul-12,4289.4
Jun-12,4135.5
May-12,4133.7
Apr-12,4467.2
Mar-12,4420
Feb-12,4388.1
Jan-12,4325.7
Dec-11,4111
Nov-11,4184.67
Oct-11,4360.5
Sep-11,4070.1
Aug-11,4369.9
Jul-11,4500.5
Jun-11,4659.8
May-11,4788.9
Apr-11,4899
Mar-11,4928.6
Feb-11,4923.6
Jan-11,4849.9
Dec-10,4846.9
Nov-10,4676.4
Oct-10,4733.4
Sep-10,4636.9
Aug-10,4438.8
Jul-10,4507.4
Jun-10,4324.8
May-10,4453.6
Apr-10,4833.9
Mar-10,4893.1
Feb-10,4651.1
Jan-10,4596.9
Dec-09,4882.7
Nov-09,4715.5
Oct-09,4646.9
Sep-09,4739.3
Aug-09,4484.1
Jul-09,4249.5
Jun-09,3947.8
May-09,3813.3
Apr-09,3744.7
Mar-09,3532.3
Feb-09,3296.9
Jan-09,3478.1
Dec-08,3659.3
Nov-08,3672.7
Oct-08,3982.7
Sep-08,4631.3
Aug-08,5215.5
Jul-08,5052.6
Jun-08,5332.8
May-08,5773.9
Apr-08,5656.9
Mar-08,5409.7
Feb-08,5674.7
Jan-08,5697
Dec-07,6421
Nov-07,6593.6
Oct-07,6779.1
Sep-07,6580.9
Aug-07,6248.3
Jul-07,6187.5
Jun-07,6310.6
May-07,6341.8
Apr-07,6158.3
Mar-07,5978.8
Feb-07,5816.5
Jan-07,5757.7
Dec-06,5644.3
Nov-06,5461.6
Oct-06,5352.9
Sep-06,5113
Aug-06,5079.8
Jul-06,4957.1
Jun-06,5034
May-06,4972.3
Apr-06,5207
Mar-06,5087.2
Feb-06,4878.4
Jan-06,4880.2
Dec-05,5644.3
Nov-05,5461.6
Oct-05,5352.9
Sep-05,5113
Aug-05,5079.8
Jul-05,4957.1
Jun-05,5034
May-05,4972.3
Apr-05,5207
Mar-05,5087.2
Feb-05,4878.4
Jan-05,4880.2
Dec-04,4053.1
Nov-04,3942.8
Oct-04,3786.3
Sep-04,3674.7
Aug-04,3561.9
Jul-04,3546.1
Jun-04,3530.3
May-04,3456.9
Apr-04,3407.7
Mar-04,3416.4
Feb-04,3372.5
Jan-04,3283.6
Dec-03,3306
Nov-03,3195.7
Oct-03,3282.4
Sep-03,3176.2
Aug-03,3202.9
Jul-03,3106.7
Jun-03,2999.7
May-03,2979.8
Apr-03,2970.9
Mar-03,2848.6
Feb-03,2778.4
Jan-03,2935.4
